trade_date,price,year_3_min,year_3_max,year_3_max_1_4,is_year_3_min,is_year_3_max,is_year_3_max_1_4_hold
1996-09-13,6.1818,-,-,-,-,-,-
1996-09-16,5.6667,-,-,-,-,-,-
1996-09-17,5.9333,-,-,-,-,-,-
1996-09-18,5.3939,-,-,-,-,-,-
1996-09-19,5.3333,-,-,-,-,-,-
1996-09-20,5.4424,-,-,-,-,-,-
1996-09-23,5.2727,-,-,-,-,-,-
1996-09-24,5.3939,-,-,-,-,-,-
1996-09-25,5.303,-,-,-,-,-,-
1996-09-26,5.3091,-,-,-,-,-,-
1996-09-27,5.4424,-,-,-,-,-,-
1996-10-03,5.4545,-,-,-,-,-,-
1996-10-04,5.4303,-,-,-,-,-,-
1996-10-07,5.5879,-,-,-,-,-,-
1996-10-08,5.6667,-,-,-,-,-,-
1996-10-09,5.5394,-,-,-,-,-,-
1996-10-10,5.5212,-,-,-,-,-,-
1996-10-11,5.4545,-,-,-,-,-,-
1996-10-14,5.503,-,-,-,-,-,-
1996-10-15,5.7152,-,-,-,-,-,-
1996-10-16,5.9394,-,-,-,-,-,-
1996-10-17,6.9394,-,-,-,-,-,-
1996-10-18,6.2061,-,-,-,-,-,-
1996-10-21,6.6727,-,-,-,-,-,-
1996-10-22,6.2667,-,-,-,-,-,-
1996-10-23,6.2606,-,-,-,-,-,-
1996-10-24,6.2727,-,-,-,-,-,-
1996-10-25,6.1818,-,-,-,-,-,-
1996-10-28,6.3576,-,-,-,-,-,-
1996-10-29,6.4364,-,-,-,-,-,-
1996-10-30,6.2121,-,-,-,-,-,-
1996-10-31,6.4606,-,-,-,-,-,-
1996-11-01,6.2727,-,-,-,-,-,-
1996-11-04,6.6667,-,-,-,-,-,-
1996-11-05,6.4242,-,-,-,-,-,-
1996-11-06,6.303,-,-,-,-,-,-
1996-11-07,6.297,-,-,-,-,-,-
1996-11-08,6.3455,-,-,-,-,-,-
1996-11-11,6.5879,-,-,-,-,-,-
1996-11-12,6.4848,-,-,-,-,-,-
1996-11-13,6.7879,-,-,-,-,-,-
1996-11-14,7.1636,-,-,-,-,-,-
1996-11-15,7.2424,-,-,-,-,-,-
1996-11-18,7.3333,-,-,-,-,-,-
1996-11-19,7.8485,-,-,-,-,-,-
1996-11-20,8.7152,-,-,-,-,-,-
1996-11-21,9.0606,-,-,-,-,-,-
1996-11-22,9.303,-,-,-,-,-,-
1996-11-25,9.3939,-,-,-,-,-,-
1996-11-26,9.0303,-,-,-,-,-,-
1996-11-27,9.1515,-,-,-,-,-,-
