,trade_date,price
0,19960913,6.1818
1,19960916,5.6667
2,19960917,5.9333
3,19960918,5.3939
4,19960919,5.3333
5,19960920,5.4424
6,19960923,5.2727
7,19960924,5.3939
8,19960925,5.303
9,19960926,5.3091
10,19960927,5.4424
11,19961003,5.4545
12,19961004,5.4303
13,19961007,5.5879
14,19961008,5.6667
15,19961009,5.5394
16,19961010,5.5212
17,19961011,5.4545
18,19961014,5.503
19,19961015,5.7152
20,19961016,5.9394
21,19961017,6.9394
22,19961018,6.2061
23,19961021,6.6727
24,19961022,6.2667
25,19961023,6.2606
26,19961024,6.2727
27,19961025,6.1818
28,19961028,6.3576
29,19961029,6.4364
30,19961030,6.2121
31,19961031,6.4606
32,19961101,6.2727
33,19961104,6.6667
34,19961105,6.4242
35,19961106,6.303
36,19961107,6.297
37,19961108,6.3455
38,19961111,6.5879
39,19961112,6.4848
40,19961113,6.7879
41,19961114,7.1636
42,19961115,7.2424
43,19961118,7.3333
44,19961119,7.8485
45,19961120,8.7152
46,19961121,9.0606
47,19961122,9.303
48,19961125,9.3939
49,19961126,9.0303
50,19961127,9.1515
51,19961128,10.3091
52,19961129,9.8182
53,19961202,9.3515
54,19961203,9.697
55,19961204,10.2424
56,19961205,10.4303
57,19961206,10.3333
58,19961209,10.5758
59,19961210,10.4848
60,19961211,10.7879
61,19961212,10.7394
62,19961213,10.1212
63,19961216,9.1333
64,19961217,8.2182
65,19961218,8.4848
66,19961219,7.6364
67,19961220,6.8727
68,19961223,6.4545
69,19961224,6.1091
70,19961225,6.5273
71,19961226,6.6667
72,19961227,7.2606
73,19961230,7.9394
74,19961231,7.6485
75,19970102,7.6788
76,19970103,7.2121
77,19970106,6.7212
78,19970107,7.1273
79,19970108,6.8788
80,19970109,7.0
81,19970110,7.097
82,19970113,7.2909
83,19970114,7.0485
84,19970115,7.1394
85,19970116,7.1091
86,19970117,7.1515
87,19970120,7.1818
88,19970121,7.2
89,19970122,7.1939
90,19970123,7.3091
91,19970124,7.4303
92,19970127,7.4364
93,19970128,7.5212
94,19970129,7.5152
95,19970130,7.4424
96,19970131,7.3576
97,19970217,7.3333
98,19970218,6.6
99,19970219,6.9091
100,19970220,6.6667
101,19970221,6.8061
102,19970224,6.7273
103,19970225,7.0909
104,19970226,7.2121
105,19970227,7.2606
106,19970228,7.2727
107,19970303,7.7455
108,19970304,7.7576
109,19970305,7.5212
110,19970306,7.5697
111,19970307,7.4545
112,19970310,7.2727
113,19970311,7.5455
114,19970312,7.4606
115,19970313,7.7394
116,19970314,7.6182
117,19970317,7.6061
118,19970318,7.4848
119,19970319,7.7394
120,19970320,7.8182
121,19970321,8.4
122,19970324,8.5576
123,19970325,8.303
124,19970326,8.2727
125,19970327,8.1818
126,19970328,8.2424
127,19970331,8.3818
128,19970401,8.7576
129,19970402,8.4182
130,19970403,8.2848
131,19970404,8.2424
132,19970407,8.0303
133,19970408,8.1212
134,19970409,8.1152
135,19970410,7.9636
136,19970411,7.697
137,19970414,7.8242
138,19970415,8.1333
139,19970416,8.0485
140,19970417,8.0909
141,19970418,7.9697
142,19970421,7.9879
143,19970422,7.9879
144,19970423,8.0667
145,19970424,8.3515
146,19970425,8.0606
147,19970428,7.8061
148,19970429,8.0
149,19970430,7.9697
150,19970505,8.0061
151,19970506,8.0606
152,19970507,8.6788
153,19970508,8.3636
154,19970509,9.0061
155,19970512,9.9091
156,19970513,9.4424
157,19970514,8.8788
158,19970515,9.497
159,19970516,9.0182
160,19970519,9.5515
161,19970520,9.5758
162,19970521,9.4242
163,19970522,8.6364
164,19970523,9.1515
165,19970526,9.5212
166,19970527,9.7818
167,19970528,9.5152
168,19970529,9.3515
169,19970530,9.9152
170,19970602,10.7576
171,19970603,10.8606
172,19970604,11.0848
173,19970605,11.3758
174,19970606,10.9758
175,19970609,11.4485
176,19970610,10.9879
177,19970611,11.0667
178,19970612,11.0909
179,19970613,11.2606
180,19970616,11.5152
181,19970617,11.7273
182,19970618,11.5152
183,19970619,11.503
184,19970620,12.3818
185,19970623,12.1758
186,19970624,12.1758
187,19970625,12.0788
188,19970626,12.1394
189,19970627,12.4121
190,19970702,13.1455
191,19970703,12.7455
192,19970704,12.7758
193,19970707,12.1818
194,19970708,11.9697
195,19970709,11.6
196,19970710,11.7455
197,19970711,12.4242
198,19970714,12.897
199,19970715,12.4121
200,19970716,11.8
201,19970717,11.5212
202,19970718,11.3273
203,19970721,11.4909
204,19970722,11.3939
205,19970723,11.3939
206,19970724,10.8303
207,19970725,10.303
208,19970728,10.1818
209,19970729,10.2424
210,19970730,10.303
211,19970731,10.0727
212,19970801,10.6061
213,19970804,10.7212
214,19970805,10.497
215,19970806,10.6667
216,19970807,10.4
217,19970808,9.98
218,19970811,9.8467
219,19970812,9.5267
220,19970813,9.3
221,19970814,9.3667
222,19970815,9.3667
223,19970818,9.2133
224,19970819,8.8133
225,19970820,9.0667
226,19970821,9.3667
227,19970822,9.52
228,19970825,10.06
229,19970826,10.2267
230,19970827,11.2467
231,19970828,11.1133
232,19970829,11.08
233,19970901,11.0
234,19970902,10.9867
235,19970903,10.9333
236,19970904,10.9
237,19970905,10.8533
238,19970908,10.8667
