股票代码,股票名称,交易日期,开盘价,最高价,最低价,收盘价,前收盘价,成交量,成交额
sh600000,浦发银行,1999/11/10,29.5,29.8,27,27.75,10,174085100,4859102435
sh600000,浦发银行,1999/11/11,27.58,28.38,27.53,27.71,27.75,29403500,821582199
sh600000,浦发银行,1999/11/12,27.86,28.3,27.77,28.05,27.71,15008000,421591623
sh600000,浦发银行,1999/11/15,28.2,28.25,27.7,27.75,28.05,11921100,332952812
sh600000,浦发银行,1999/11/16,27.88,27.97,26.48,26.55,27.75,23223100,628908296
sh600000,浦发银行,1999/11/17,26.5,27.18,26.37,27.18,26.55,10052600,268995055
sh600000,浦发银行,1999/11/18,27.2,27.58,26.78,27.02,27.18,8446500,229577879
sh600000,浦发银行,1999/11/19,27.5,27.53,26.8,26.88,27.02,5375000,145887121
sh600000,浦发银行,1999/11/22,26.88,26.95,26.3,26.45,26.88,5535400,147086153
sh600000,浦发银行,1999/11/23,26.45,26.55,26.1,26.45,26.45,3844000,101224493
sh600000,浦发银行,1999/11/24,26.44,26.55,26.01,26.43,26.45,4098000,107344461
sh600000,浦发银行,1999/11/25,26.3,26.66,26.02,26.4,26.43,5725300,150528185
sh600000,浦发银行,1999/11/26,26.43,26.66,26.15,26.45,26.4,2282700,60508935
sh600000,浦发银行,1999/11/29,26.45,26.83,26.22,26.33,26.45,2681200,71099577
sh600000,浦发银行,1999/11/30,26.3,26.5,26.11,26.4,26.33,2371400,62335742
sh600000,浦发银行,1999/12/1,26.31,26.9,26.21,26.6,26.4,2865100,76287992
sh600000,浦发银行,1999/12/2,26.52,26.72,26.22,26.26,26.6,1938500,51110241
sh600000,浦发银行,1999/12/3,26.25,26.65,26.2,26.36,26.26,2552600,67291877
sh600000,浦发银行,1999/12/6,26.3,26.35,25.6,25.66,26.36,6984000,180516074
sh600000,浦发银行,1999/12/7,25.6,25.85,25.5,25.6,25.66,3955800,101467905
sh600000,浦发银行,1999/12/8,25.6,25.76,25.5,25.53,25.6,2236500,57214358
sh600000,浦发银行,1999/12/9,25.5,25.55,25.3,25.36,25.53,2564600,65136972
sh600000,浦发银行,1999/12/10,25.36,26.1,25.22,25.97,25.36,3553913,91041273
sh600000,浦发银行,1999/12/13,25.98,26.45,25.6,25.92,25.97,7058400,184655963
sh600000,浦发银行,1999/12/14,25.7,26,25.7,26,25.92,1618500,41845145
sh600000,浦发银行,1999/12/15,26,26.9,25.9,26.45,26,6797900,180407899
sh600000,浦发银行,1999/12/16,26.5,26.5,25.95,26,26.45,3616200,94601476
sh600000,浦发银行,1999/12/17,26,26.13,25.51,25.58,26,3565300,91807404
sh600000,浦发银行,1999/12/21,25.45,25.55,25.14,25.24,25.58,4215300,106523995
sh600000,浦发银行,1999/12/22,25.24,25.35,25.05,25.15,25.24,3083500,77614086
sh600000,浦发银行,1999/12/23,25.2,25.3,24.7,24.78,25.15,4161561,103557903
sh600000,浦发银行,1999/12/24,24.6,25.07,24.59,24.75,24.78,2832500,70142724
sh600000,浦发银行,1999/12/27,24.75,25,24.5,24.58,24.75,2233700,55170000
sh600000,浦发银行,1999/12/28,24.54,25.08,24.5,24.6,24.58,3176700,78430313
sh600000,浦发银行,1999/12/29,24.71,24.97,24.57,24.66,24.6,2284200,56436027
sh600000,浦发银行,1999/12/30,24.9,24.99,24.65,24.75,24.66,2333200,57888237
sh600000,浦发银行,2000/1/4,24.98,25.78,24.75,25.57,24.75,4496100,113946783
sh600000,浦发银行,2000/1/5,25.57,25.98,25.15,25.28,25.57,5252800,134465427
sh600000,浦发银行,2000/1/6,25.18,26.3,25.05,25.99,25.28,6229700,160059798
sh600000,浦发银行,2000/1/7,26.3,27.5,26.12,26.9,25.99,21355300,575751082
sh600000,浦发银行,2000/1/10,27,27.85,26.71,27.25,26.9,16539700,450453518
sh600000,浦发银行,2000/1/11,27.25,27.3,26.12,26.2,27.25,9390800,251055911
sh600000,浦发银行,2000/1/12,26,26,24.8,25.12,26.2,35274900,889867340
sh600000,浦发银行,2000/1/13,25,25.25,24.8,24.9,25.12,7975600,199244304
sh600000,浦发银行,2000/1/14,24.88,25,23.91,24.2,24.9,17861900,434206087
sh600000,浦发银行,2000/1/17,24.08,24.44,23.75,24.4,24.2,8101500,194776964
sh600000,浦发银行,2000/1/18,24.5,24.57,23.88,24.14,24.4,7693300,185091684
sh600000,浦发银行,2000/1/19,24.14,24.29,23.98,24.13,24.14,4658400,112325238
sh600000,浦发银行,2000/1/20,24.12,24.65,24.1,24.44,24.13,5114400,124668176
sh600000,浦发银行,2000/1/21,24.51,24.63,24.08,24.27,24.44,8138700,197523215
sh600000,浦发银行,2000/1/24,24.2,24.25,23.95,24.18,24.27,9250300,222404435
sh600000,浦发银行,2000/1/25,24.18,25.16,24.18,24.59,24.18,7742300,191183031
sh600000,浦发银行,2000/1/26,24.6,24.8,24.31,24.41,24.59,2737700,67037918
