index,trade_date,price,year_3_min,year_3_max,is_year_3_min,is_year_3_max,is_year_3_min_1_4_hold
0,1996/9/13,6.1818,,,0,0,0
1,1996/9/16,5.6667,,,0,0,0
2,1996/9/17,5.9333,,,0,0,0
3,1996/9/18,5.3939,,,0,0,0
4,1996/9/19,5.3333,,,0,0,0
5,1996/9/20,5.4424,,,0,0,0
6,1996/9/23,5.2727,,,0,0,0
7,1996/9/24,5.3939,,,0,0,0
8,1996/9/25,5.303,,,0,0,0
9,1996/9/26,5.3091,,,0,0,0
10,1996/9/27,5.4424,,,0,0,0
11,1996/10/3,5.4545,,,0,0,0
12,1996/10/4,5.4303,,,0,0,0
13,1996/10/7,5.5879,,,0,0,0
14,1996/10/8,5.6667,,,0,0,0
15,1996/10/9,5.5394,,,0,0,0
16,1996/10/10,5.5212,,,0,0,0
17,1996/10/11,5.4545,,,0,0,0
18,1996/10/14,5.503,,,0,0,0
19,1996/10/15,5.7152,,,0,0,0
20,1996/10/16,5.9394,,,0,0,0
21,1996/10/17,6.9394,,,0,0,0
22,1996/10/18,6.2061,,,0,0,0
23,1996/10/21,6.6727,,,0,0,0
24,1996/10/22,6.2667,,,0,0,0
25,1996/10/23,6.2606,,,0,0,0
26,1996/10/24,6.2727,,,0,0,0
27,1996/10/25,6.1818,,,0,0,0
28,1996/10/28,6.3576,,,0,0,0
29,1996/10/29,6.4364,,,0,0,0
30,1996/10/30,6.2121,,,0,0,0
31,1996/10/31,6.4606,,,0,0,0
32,1996/11/1,6.2727,,,0,0,0
33,1996/11/4,6.6667,,,0,0,0
34,1996/11/5,6.4242,,,0,0,0
35,1996/11/6,6.303,,,0,0,0
36,1996/11/7,6.297,,,0,0,0
37,1996/11/8,6.3455,,,0,0,0
38,1996/11/11,6.5879,,,0,0,0
39,1996/11/12,6.4848,,,0,0,0
40,1996/11/13,6.7879,,,0,0,0
41,1996/11/14,7.1636,,,0,0,0
42,1996/11/15,7.2424,,,0,0,0
43,1996/11/18,7.3333,,,0,0,0
44,1996/11/19,7.8485,,,0,0,0
45,1996/11/20,8.7152,,,0,0,0
46,1996/11/21,9.0606,,,0,0,0
47,1996/11/22,9.303,,,0,0,0
48,1996/11/25,9.3939,,,0,0,0
49,1996/11/26,9.0303,,,0,0,0
50,1996/11/27,9.1515,,,0,0,0
51,1996/11/28,10.3091,,,0,0,0
52,1996/11/29,9.8182,,,0,0,0
53,1996/12/2,9.3515,,,0,0,0
54,1996/12/3,9.697,,,0,0,0
55,1996/12/4,10.2424,,,0,0,0
56,1996/12/5,10.4303,,,0,0,0
57,1996/12/6,10.3333,,,0,0,0
58,1996/12/9,10.5758,,,0,0,0
59,1996/12/10,10.4848,,,0,0,0
60,1996/12/11,10.7879,,,0,0,0
61,1996/12/12,10.7394,,,0,0,0
62,1996/12/13,10.1212,,,0,0,0
63,1996/12/16,9.1333,,,0,0,0
64,1996/12/17,8.2182,,,0,0,0
65,1996/12/18,8.4848,,,0,0,0
66,1996/12/19,7.6364,,,0,0,0
67,1996/12/20,6.8727,,,0,0,0
68,1996/12/23,6.4545,,,0,0,0
69,1996/12/24,6.1091,,,0,0,0
70,1996/12/25,6.5273,,,0,0,0
71,1996/12/26,6.6667,,,0,0,0
72,1996/12/27,7.2606,,,0,0,0
73,1996/12/30,7.9394,,,0,0,0
74,1996/12/31,7.6485,,,0,0,0
75,1997/1/2,7.6788,,,0,0,0
76,1997/1/3,7.2121,,,0,0,0
77,1997/1/6,6.7212,,,0,0,0
78,1997/1/7,7.1273,,,0,0,0
79,1997/1/8,6.8788,,,0,0,0
80,1997/1/9,7,,,0,0,0
81,1997/1/10,7.097,,,0,0,0
82,1997/1/13,7.2909,,,0,0,0
83,1997/1/14,7.0485,,,0,0,0
84,1997/1/15,7.1394,,,0,0,0
85,1997/1/16,7.1091,,,0,0,0
86,1997/1/17,7.1515,,,0,0,0
87,1997/1/20,7.1818,,,0,0,0
88,1997/1/21,7.2,,,0,0,0
89,1997/1/22,7.1939,,,0,0,0
90,1997/1/23,7.3091,,,0,0,0
91,1997/1/24,7.4303,,,0,0,0
92,1997/1/27,7.4364,,,0,0,0
93,1997/1/28,7.5212,,,0,0,0
94,1997/1/29,7.5152,,,0,0,0
95,1997/1/30,7.4424,,,0,0,0
96,1997/1/31,7.3576,,,0,0,0
97,1997/2/17,7.3333,,,0,0,0
98,1997/2/18,6.6,,,0,0,0
99,1997/2/19,6.9091,,,0,0,0
100,1997/2/20,6.6667,,,0,0,0
101,1997/2/21,6.8061,,,0,0,0
102,1997/2/24,6.7273,,,0,0,0
103,1997/2/25,7.0909,,,0,0,0
104,1997/2/26,7.2121,,,0,0,0
105,1997/2/27,7.2606,,,0,0,0
106,1997/2/28,7.2727,,,0,0,0
107,1997/3/3,7.7455,,,0,0,0
108,1997/3/4,7.7576,,,0,0,0
109,1997/3/5,7.5212,,,0,0,0
110,1997/3/6,7.5697,,,0,0,0
111,1997/3/7,7.4545,,,0,0,0
112,1997/3/10,7.2727,,,0,0,0
113,1997/3/11,7.5455,,,0,0,0
