股票代码,股票名称,交易日期,开盘价,最高价,最低价,收盘价,前收盘价,成交量,成交额
sh600000,浦发银行,1999-11-10,29.5,29.8,27.0,27.75,10.0,174085100.0,4859102435.0
sh600000,浦发银行,1999-11-11,27.58,28.38,27.53,27.71,27.75,29403500.0,821582199.0
sh600000,浦发银行,1999-11-12,27.86,28.3,27.77,28.05,27.71,15008000.0,421591623.0
sh600000,浦发银行,1999-11-15,28.2,28.25,27.7,27.75,28.05,11921100.0,332952812.0
sh600000,浦发银行,1999-11-16,27.88,27.97,26.48,26.55,27.75,23223100.0,628908296.0
sh600000,浦发银行,1999-11-17,26.5,27.18,26.37,27.18,26.55,10052600.0,268995055.0
sh600000,浦发银行,1999-11-18,27.2,27.58,26.78,27.02,27.18,8446500.0,229577879.0
sh600000,浦发银行,1999-11-19,27.5,27.53,26.8,26.88,27.02,5375000.0,145887121.0
sh600000,浦发银行,1999-11-22,26.88,26.95,26.3,26.45,26.88,5535400.0,147086153.0
sh600000,浦发银行,1999-11-23,26.45,26.55,26.1,26.45,26.45,3844000.0,101224493.0
sh600000,浦发银行,1999-11-24,26.44,26.55,26.01,26.43,26.45,4098000.0,107344461.0
sh600000,浦发银行,1999-11-25,26.3,26.66,26.02,26.4,26.43,5725300.0,150528185.0
sh600000,浦发银行,1999-11-26,26.43,26.66,26.15,26.45,26.4,2282700.0,60508935.0
sh600000,浦发银行,1999-11-29,26.45,26.83,26.22,26.33,26.45,2681200.0,71099577.0
sh600000,浦发银行,1999-11-30,26.3,26.5,26.11,26.4,26.33,2371400.0,62335742.0
sh600000,浦发银行,1999-12-01,26.31,26.9,26.21,26.6,26.4,2865100.0,76287992.0
sh600000,浦发银行,1999-12-02,26.52,26.72,26.22,26.26,26.6,1938500.0,51110241.0
sh600000,浦发银行,1999-12-03,26.25,26.65,26.2,26.36,26.26,2552600.0,67291877.0
sh600000,浦发银行,1999-12-06,26.3,26.35,25.6,25.66,26.36,6984000.0,180516074.0
sh600000,浦发银行,1999-12-07,25.6,25.85,25.5,25.6,25.66,3955800.0,101467905.0
sh600000,浦发银行,1999-12-08,25.6,25.76,25.5,25.53,25.6,2236500.0,57214358.0
sh600000,浦发银行,1999-12-09,25.5,25.55,25.3,25.36,25.53,2564600.0,65136972.0
sh600000,浦发银行,1999-12-10,25.36,26.1,25.22,25.97,25.36,3553913.0,91041273.0
sh600000,浦发银行,1999-12-13,25.98,26.45,25.6,25.92,25.97,7058400.0,184655963.0
sh600000,浦发银行,1999-12-14,25.7,26.0,25.7,26.0,25.92,1618500.0,41845145.0
sh600000,浦发银行,1999-12-15,26.0,26.9,25.9,26.45,26.0,6797900.0,180407899.0
sh600000,浦发银行,1999-12-16,26.5,26.5,25.95,26.0,26.45,3616200.0,94601476.0
sh600000,浦发银行,1999-12-17,26.0,26.13,25.51,25.58,26.0,3565300.0,91807404.0
sh600000,浦发银行,1999-12-21,25.45,25.55,25.14,25.24,25.58,4215300.0,106523995.0
sh600000,浦发银行,1999-12-22,25.24,25.35,25.05,25.15,25.24,3083500.0,77614086.0
sh600000,浦发银行,1999-12-23,25.2,25.3,24.7,24.78,25.15,4161561.0,103557903.0
sh600000,浦发银行,1999-12-24,24.6,25.07,24.59,24.75,24.78,2832500.0,70142724.0
sh600000,浦发银行,1999-12-27,24.75,25.0,24.5,24.58,24.75,2233700.0,55170000.0
sh600000,浦发银行,1999-12-28,24.54,25.08,24.5,24.6,24.58,3176700.0,78430313.0
sh600000,浦发银行,1999-12-29,24.71,24.97,24.57,24.66,24.6,2284200.0,56436027.0
sh600000,浦发银行,1999-12-30,24.9,24.99,24.65,24.75,24.66,2333200.0,57888237.0
sh600000,浦发银行,2000-01-04,24.98,25.78,24.75,25.57,24.75,4496100.0,113946783.0
sh600000,浦发银行,2000-01-05,25.57,25.98,25.15,25.28,25.57,5252800.0,134465427.0
sh600000,浦发银行,2000-01-06,25.18,26.3,25.05,25.99,25.28,6229700.0,160059798.0
sh600000,浦发银行,2000-01-07,26.3,27.5,26.12,26.9,25.99,21355300.0,575751082.0
sh600000,浦发银行,2000-01-10,27.0,27.85,26.71,27.25,26.9,16539700.0,450453518.0
sh600000,浦发银行,2000-01-11,27.25,27.3,26.12,26.2,27.25,9390800.0,251055911.0
sh600000,浦发银行,2000-01-12,26.0,26.0,24.8,25.12,26.2,35274900.0,889867340.0
sh600000,浦发银行,2000-01-13,25.0,25.25,24.8,24.9,25.12,7975600.0,199244304.0
sh600000,浦发银行,2000-01-14,24.88,25.0,23.91,24.2,24.9,17861900.0,434206087.0
sh600000,浦发银行,2000-01-17,24.08,24.44,23.75,24.4,24.2,8101500.0,194776964.0
sh600000,浦发银行,2000-01-18,24.5,24.57,23.88,24.14,24.4,7693300.0,185091684.0
sh600000,浦发银行,2000-01-19,24.14,24.29,23.98,24.13,24.14,4658400.0,112325238.0
sh600000,浦发银行,2000-01-20,24.12,24.65,24.1,24.44,24.13,5114400.0,124668176.0
sh600000,浦发银行,2000-01-21,24.51,24.63,24.08,24.27,24.44,8138700.0,197523215.0
sh600000,浦发银行,2000-01-24,24.2,24.25,23.95,24.18,24.27,9250300.0,222404435.0
sh600000,浦发银行,2000-01-25,24.18,25.16,24.18,24.59,24.18,7742300.0,191183031.0
sh600000,浦发银行,2000-01-26,24.6,24.8,24.31,24.41,24.59,2737700.0,67037918.0
sh600000,浦发银行,2000-01-27,24.47,24.78,24.2,24.59,24.41,6335000.0,154926927.0
sh600000,浦发银行,2000-01-28,24.6,25.1,24.56,25.04,24.59,12362700.0,307633593.0
sh600000,浦发银行,2000-02-14,26.0,27.48,25.5,27.2,25.04,23739100.0,628039000.0
sh600000,浦发银行,2000-02-15,27.2,27.48,25.65,25.68,27.2,26267700.0,693158484.0
sh600000,浦发银行,2000-02-16,25.5,25.55,24.91,25.2,25.68,19069100.0,478863316.0
sh600000,浦发银行,2000-02-17,25.25,26.4,24.23,24.9,25.2,23044800.0,579973766.0
sh600000,浦发银行,2000-02-18,24.9,25.0,24.3,24.68,24.9,9693500.0,237689141.0
sh600000,浦发银行,2000-02-21,24.75,26.3,24.2,25.8,24.68,25510600.0,650679608.0
sh600000,浦发银行,2000-02-22,25.88,26.0,24.6,24.75,25.8,10517500.0,264067019.0
sh600000,浦发银行,2000-02-23,24.6,25.25,24.5,24.6,24.75,6914600.0,171007817.0
sh600000,浦发银行,2000-02-24,24.6,25.0,24.5,24.82,24.6,4648100.0,114760607.0
sh600000,浦发银行,2000-02-25,24.9,24.97,24.5,24.6,24.82,5814800.0,143173184.0
sh600000,浦发银行,2000-02-28,24.6,25.25,24.35,25.08,24.6,9373400.0,231796184.0
sh600000,浦发银行,2000-02-29,25.21,25.6,24.8,25.17,25.08,10955900.0,275768296.0
sh600000,浦发银行,2000-03-01,25.2,27.1,25.17,25.82,25.17,41705100.0,1096015251.0
sh600000,浦发银行,2000-03-02,25.78,26.0,25.1,25.42,25.82,12999900.0,330633290.0
sh600000,浦发银行,2000-03-03,25.6,26.7,25.58,26.0,25.42,16109800.0,420418261.0
sh600000,浦发银行,2000-03-06,26.48,26.9,25.55,25.6,26.0,20616200.0,542130542.0
sh600000,浦发银行,2000-03-07,25.2,26.3,25.01,25.8,25.6,11132900.0,284899208.0
sh600000,浦发银行,2000-03-08,26.0,26.18,25.43,25.69,25.8,5771400.0,148007818.0
sh600000,浦发银行,2000-03-09,25.7,27.49,25.38,26.4,25.69,26491000.0,704219251.0
sh600000,浦发银行,2000-03-10,26.4,26.5,25.51,25.62,26.4,10570000.0,273452598.0
sh600000,浦发银行,2000-03-13,25.6,25.98,25.36,25.53,25.62,5566400.0,142355325.0
sh600000,浦发银行,2000-03-14,25.0,25.42,24.8,25.42,25.53,11375200.0,285003725.0
sh600000,浦发银行,2000-03-15,25.4,25.42,25.0,25.14,25.42,4220000.0,106073477.0
sh600000,浦发银行,2000-03-16,25.0,25.08,24.28,24.5,25.14,7570200.0,187216559.0
sh600000,浦发银行,2000-03-17,24.5,25.2,24.4,24.86,24.5,4270400.0,106042791.0
sh600000,浦发银行,2000-03-20,24.5,25.2,24.5,25.02,24.86,4387600.0,109489001.0
sh600000,浦发银行,2000-03-21,25.18,25.2,24.82,25.0,25.02,4409900.0,110102522.0
sh600000,浦发银行,2000-03-22,25.08,25.71,24.88,25.34,25.0,4522000.0,114100496.0
sh600000,浦发银行,2000-03-23,25.35,25.68,25.2,25.51,25.34,5887200.0,149693415.0
sh600000,浦发银行,2000-03-24,26.01,27.05,25.51,25.51,25.51,21856400.0,575302201.0
sh600000,浦发银行,2000-03-27,25.71,26.26,25.4,25.9,25.51,6161100.0,158738686.0
sh600000,浦发银行,2000-03-28,26.03,26.3,25.25,25.5,25.9,7074200.0,180806578.0
sh600000,浦发银行,2000-03-29,25.55,25.7,25.06,25.18,25.5,7495200.0,189202622.0
sh600000,浦发银行,2000-03-30,25.25,25.72,25.25,25.38,25.18,4400800.0,111744655.0
sh600000,浦发银行,2000-03-31,25.45,25.58,25.1,25.22,25.38,4320400.0,109090852.0
sh600000,浦发银行,2000-04-03,25.2,25.5,25.1,25.24,25.22,3498400.0,88393318.0
sh600000,浦发银行,2000-04-04,25.2,25.2,24.86,24.9,25.24,4307100.0,107536323.0
sh600000,浦发银行,2000-04-05,24.9,25.49,24.88,25.15,24.9,3427000.0,85948606.0
sh600000,浦发银行,2000-04-06,25.15,25.39,25.06,25.31,25.15,2927600.0,73823696.0
sh600000,浦发银行,2000-04-07,25.42,25.9,25.38,25.69,25.31,6006300.0,154300910.0
sh600000,浦发银行,2000-04-10,25.72,25.9,25.43,25.54,25.69,3327800.0,85045430.0
sh600000,浦发银行,2000-04-11,25.6,26.08,25.4,25.56,25.54,6213900.0,159922397.0
sh600000,浦发银行,2000-04-12,25.62,26.0,25.35,25.45,25.56,4634400.0,119159205.0
sh600000,浦发银行,2000-04-13,25.45,25.88,25.4,25.6,25.45,4206500.0,107735819.0
sh600000,浦发银行,2000-04-14,25.68,26.2,25.6,25.83,25.6,11250500.0,291591767.0
sh600000,浦发银行,2000-04-17,26.0,26.2,25.18,25.3,25.83,7976900.0,204556962.0
sh600000,浦发银行,2000-04-18,25.31,25.45,25.01,25.32,25.3,3894500.0,98184097.0
sh600000,浦发银行,2000-04-19,25.45,25.78,25.19,25.3,25.32,2755600.0,69942881.0
